City,Year,Month,Day,AvgTemperature,ÈÕÆÚ
Beijing,2018,3,24,57.9,2018/3/24
Beijing,2018,3,25,64.4,2018/3/25
Beijing,2018,3,26,60.5,2018/3/26
Beijing,2018,3,27,65.4,2018/3/27
Beijing,2018,3,28,64,2018/3/28
Beijing,2018,3,29,56.5,2018/3/29
Beijing,2018,3,30,56,2018/3/30
Beijing,2018,3,31,60.5,2018/3/31
Beijing,2018,4,1,65.4,2018/4/1
Beijing,2018,4,2,65.9,2018/4/2
Beijing,2018,4,3,42.1,2018/4/3
Beijing,2018,4,4,38.3,2018/4/4
Beijing,2018,4,5,39.8,2018/4/5
Beijing,2018,4,6,43.7,2018/4/6
Beijing,2018,4,7,44.9,2018/4/7
Beijing,2018,4,8,55.1,2018/4/8
Beijing,2018,4,9,57.7,2018/4/9
Beijing,2018,4,10,63.7,2018/4/10
Beijing,2018,4,11,67.9,2018/4/11
Beijing,2018,4,12,62.2,2018/4/12
Beijing,2018,4,13,50.5,2018/4/13
Beijing,2018,4,14,57.6,2018/4/14
Beijing,2018,4,15,59.6,2018/4/15
Beijing,2018,4,16,64.5,2018/4/16
Beijing,2018,4,17,64.3,2018/4/17
Beijing,2018,4,18,66.4,2018/4/18
Beijing,2018,4,19,70.2,2018/4/19
Beijing,2018,4,20,71.8,2018/4/20
Beijing,2018,4,21,57.3,2018/4/21
Beijing,2018,4,22,54.3,2018/4/22
Beijing,2018,4,23,56.7,2018/4/23
Beijing,2018,4,24,63.1,2018/4/24
Beijing,2018,4,25,65.6,2018/4/25
Beijing,2018,4,26,66.5,2018/4/26
Beijing,2018,4,27,67.7,2018/4/27
Beijing,2018,4,28,70.4,2018/4/28
Beijing,2018,4,29,73.5,2018/4/29
Beijing,2018,4,30,65.9,2018/4/30
Beijing,2018,5,1,62.9,2018/5/1
Beijing,2018,5,2,64.4,2018/5/2
Beijing,2018,5,3,63.1,2018/5/3
Beijing,2018,5,4,70.3,2018/5/4
Beijing,2018,5,5,66.7,2018/5/5
Beijing,2018,5,6,71.3,2018/5/6
Beijing,2018,5,7,68.8,2018/5/7
Beijing,2018,5,8,68.3,2018/5/8
Beijing,2018,5,9,69.4,2018/5/9
Beijing,2018,5,10,72.9,2018/5/10
Beijing,2018,5,11,66.8,2018/5/11
Beijing,2018,5,12,65.3,2018/5/12
Beijing,2018,5,13,74.9,2018/5/13
Beijing,2018,5,14,80,2018/5/14
Beijing,2018,5,15,76.4,2018/5/15
Beijing,2018,5,16,76.1,2018/5/16
Beijing,2018,5,17,70.2,2018/5/17
Beijing,2018,5,18,74.1,2018/5/18
Beijing,2018,5,19,70.8,2018/5/19
Beijing,2018,5,20,62.9,2018/5/20
Beijing,2018,5,21,62.1,2018/5/21
Beijing,2018,5,22,64.9,2018/5/22
Beijing,2018,5,23,73.2,2018/5/23
Beijing,2018,5,24,79.3,2018/5/24
Beijing,2018,5,25,77.7,2018/5/25
Beijing,2018,5,26,70.5,2018/5/26
Beijing,2018,5,27,80.2,2018/5/27
Beijing,2018,5,28,73.7,2018/5/28
Beijing,2018,5,29,75.5,2018/5/29
Beijing,2018,5,30,78.6,2018/5/30
Beijing,2018,5,31,80.8,2018/5/31
Beijing,2018,6,1,82.2,2018/6/1
Beijing,2018,6,2,83.9,2018/6/2
Beijing,2018,6,3,74.7,2018/6/3
Beijing,2018,6,4,83.6,2018/6/4
Beijing,2018,6,5,89.5,2018/6/5
Beijing,2018,6,6,83.7,2018/6/6
Beijing,2018,6,7,75.8,2018/6/7
Beijing,2018,6,8,80.8,2018/6/8
Beijing,2018,6,9,67,2018/6/9
Beijing,2018,6,10,71.2,2018/6/10
Beijing,2018,6,11,71.8,2018/6/11
Beijing,2018,6,12,76.2,2018/6/12
Beijing,2018,6,13,66.7,2018/6/13
Beijing,2018,6,14,76.5,2018/6/14
Beijing,2018,6,15,76,2018/6/15
Beijing,2018,6,16,78.6,2018/6/16
Beijing,2018,6,17,74,2018/6/17
Beijing,2018,6,18,83.8,2018/6/18
Beijing,2018,6,19,80.3,2018/6/19
Beijing,2018,6,20,84.4,2018/6/20
Beijing,2018,6,21,85.8,2018/6/21
Beijing,2018,6,22,80,2018/6/22
Beijing,2018,6,23,86.3,2018/6/23
Beijing,2018,6,24,87.7,2018/6/24
Beijing,2018,6,25,81.4,2018/6/25
Beijing,2018,6,26,80.7,2018/6/26
Beijing,2018,6,27,87.1,2018/6/27
Beijing,2018,6,28,85.9,2018/6/28
Beijing,2018,6,29,87.3,2018/6/29
Beijing,2018,6,30,80.4,2018/6/30
Beijing,2018,7,1,80.4,2018/7/1
Beijing,2018,7,2,80.6,2018/7/2
Beijing,2018,7,3,80.1,2018/7/3
Beijing,2018,7,4,86.6,2018/7/4
Beijing,2018,7,5,81.3,2018/7/5
Beijing,2018,7,6,84.5,2018/7/6
Beijing,2018,7,7,76.1,2018/7/7
Beijing,2018,7,8,81,2018/7/8
Beijing,2018,7,9,77,2018/7/9
Beijing,2018,7,10,78,2018/7/10
Beijing,2018,7,11,70.8,2018/7/11
Beijing,2018,7,12,76.5,2018/7/12
Beijing,2018,7,13,80.1,2018/7/13
Beijing,2018,7,14,83.2,2018/7/14
Beijing,2018,7,15,85.9,2018/7/15
Beijing,2018,7,16,77.7,2018/7/16
Beijing,2018,7,17,76.2,2018/7/17
Beijing,2018,7,18,81.1,2018/7/18
Beijing,2018,7,19,82,2018/7/19
Beijing,2018,7,20,87.3,2018/7/20
Beijing,2018,7,21,88.1,2018/7/21
Beijing,2018,7,22,83.2,2018/7/22
Beijing,2018,7,23,84.7,2018/7/23
Beijing,2018,7,24,79.1,2018/7/24
Beijing,2018,7,25,83.3,2018/7/25
Beijing,2018,7,26,85.4,2018/7/26
Beijing,2018,7,27,83.3,2018/7/27
Beijing,2018,7,28,85.5,2018/7/28
Beijing,2018,7,29,86.7,2018/7/29
Beijing,2018,7,30,88.5,2018/7/30
Beijing,2018,7,31,89.2,2018/7/31
Beijing,2018,8,1,90,2018/8/1
Beijing,2018,8,2,89.1,2018/8/2
Beijing,2018,8,3,90,2018/8/3
Beijing,2018,8,4,90.3,2018/8/4
Beijing,2018,8,5,85.7,2018/8/5
Beijing,2018,8,6,78.8,2018/8/6
Beijing,2018,8,7,83.2,2018/8/7
Beijing,2018,8,8,77.5,2018/8/8
Beijing,2018,8,9,83.4,2018/8/9
Beijing,2018,8,10,85.5,2018/8/10
Beijing,2018,8,11,79.4,2018/8/11
Beijing,2018,8,12,79.2,2018/8/12
Beijing,2018,8,13,80.9,2018/8/13
Beijing,2018,8,14,79.6,2018/8/14
Beijing,2018,8,15,83.5,2018/8/15
Beijing,2018,8,16,81.9,2018/8/16
Beijing,2018,8,17,81.6,2018/8/17
Beijing,2018,8,18,75.5,2018/8/18
Beijing,2018,8,19,77.1,2018/8/19
Beijing,2018,8,20,82,2018/8/20
Beijing,2018,8,21,81.7,2018/8/21
Beijing,2018,8,22,76.7,2018/8/22
Beijing,2018,8,23,78.5,2018/8/23
Beijing,2018,8,24,78.9,2018/8/24
Beijing,2018,8,25,81.4,2018/8/25
Beijing,2018,8,26,82.4,2018/8/26
Beijing,2018,8,27,80.9,2018/8/27
Beijing,2018,8,28,78.1,2018/8/28
Beijing,2018,8,29,80,2018/8/29
Beijing,2018,8,30,71.5,2018/8/30
Beijing,2018,8,31,77.9,2018/8/31
Beijing,2018,9,1,76.1,2018/9/1
Beijing,2018,9,2,74.6,2018/9/2
Beijing,2018,9,3,80.6,2018/9/3
Beijing,2018,9,4,77.5,2018/9/4
Beijing,2018,9,5,79.8,2018/9/5
Beijing,2018,9,6,73,2018/9/6
Beijing,2018,9,7,72.9,2018/9/7
Beijing,2018,9,8,70.7,2018/9/8
Beijing,2018,9,9,70.6,2018/9/9
Beijing,2018,9,10,73.3,2018/9/10
Beijing,2018,9,11,69.8,2018/9/11
Beijing,2018,9,12,72.2,2018/9/12
Beijing,2018,9,13,73.6,2018/9/13
Beijing,2018,9,14,76.1,2018/9/14
Beijing,2018,9,15,70.6,2018/9/15
Beijing,2018,9,16,65.8,2018/9/16
Beijing,2018,9,17,70.4,2018/9/17
Beijing,2018,9,18,62.7,2018/9/18
Beijing,2018,9,19,65.3,2018/9/19
Beijing,2018,9,20,65.3,2018/9/20
Beijing,2018,9,21,68.3,2018/9/21
Beijing,2018,9,22,63.6,2018/9/22
Beijing,2018,9,23,63.6,2018/9/23
Beijing,2018,9,24,50.6,2018/9/24
Beijing,2018,9,25,64.6,2018/9/25
Beijing,2018,9,26,63.1,2018/9/26
Beijing,2018,9,27,61.5,2018/9/27
Beijing,2018,9,28,60.2,2018/9/28
Beijing,2018,9,29,56.2,2018/9/29
Beijing,2018,9,30,61.4,2018/9/30
Beijing,2018,10,1,67.8,2018/10/1
Beijing,2018,10,2,63.9,2018/10/2
Beijing,2018,10,3,61.7,2018/10/3
Beijing,2018,10,4,62.6,2018/10/4
Beijing,2018,10,5,64.5,2018/10/5
Beijing,2018,10,6,58.4,2018/10/6
Beijing,2018,10,7,58.6,2018/10/7
Beijing,2018,10,8,59.9,2018/10/8
Beijing,2018,10,9,51,2018/10/9
Beijing,2018,10,10,49.1,2018/10/10
Beijing,2018,10,11,49.6,2018/10/11
Beijing,2018,10,12,51.2,2018/10/12
Beijing,2018,10,13,53.3,2018/10/13
Beijing,2018,10,14,56.9,2018/10/14
Beijing,2018,10,15,55.8,2018/10/15
Beijing,2018,10,16,53.6,2018/10/16
Beijing,2018,10,17,48.1,2018/10/17
Beijing,2018,10,18,49.5,2018/10/18
Beijing,2018,10,19,49.3,2018/10/19
Beijing,2018,10,20,50.4,2018/10/20
Beijing,2018,10,21,49.6,2018/10/21
Beijing,2018,10,22,57.6,2018/10/22
Beijing,2018,10,23,49.7,2018/10/23
Beijing,2018,10,24,52.5,2018/10/24
Beijing,2018,10,25,53.3,2018/10/25
Beijing,2018,10,26,47.2,2018/10/26
Beijing,2018,10,27,59.1,2018/10/27
Beijing,2018,10,28,54,2018/10/28
Beijing,2018,10,29,49.9,2018/10/29
Beijing,2018,10,30,46.7,2018/10/30
Beijing,2018,10,31,46.2,2018/10/31
Beijing,2018,11,1,47.7,2018/11/1
Beijing,2018,11,2,46.5,2018/11/2
Beijing,2018,11,3,51.7,2018/11/3
Beijing,2018,11,4,43.7,2018/11/4
Beijing,2018,11,5,42.3,2018/11/5
Beijing,2018,11,6,40,2018/11/6
Beijing,2018,11,7,42.4,2018/11/7
Beijing,2018,11,8,43.5,2018/11/8
Beijing,2018,11,9,48.9,2018/11/9
Beijing,2018,11,10,46.9,2018/11/10
Beijing,2018,11,11,46.1,2018/11/11
Beijing,2018,11,12,43.2,2018/11/12
Beijing,2018,11,13,43.6,2018/11/13
Beijing,2018,11,14,-99,2018/11/14
Beijing,2018,11,15,-99,2018/11/15
Beijing,2018,11,16,38.9,2018/11/16
Beijing,2018,11,17,-99,2018/11/17
Beijing,2018,11,18,40.2,2018/11/18
Beijing,2018,11,19,37.8,2018/11/19
Beijing,2018,11,20,42,2018/11/20
Beijing,2018,11,21,37.1,2018/11/21
Beijing,2018,11,22,35.5,2018/11/22
Beijing,2018,11,23,35.2,2018/11/23
Beijing,2018,11,24,37.5,2018/11/24
Beijing,2018,11,25,39.2,2018/11/25
Beijing,2018,11,26,41,2018/11/26
Beijing,2018,11,27,37.8,2018/11/27
Beijing,2018,11,28,32.3,2018/11/28
Beijing,2018,11,29,33.2,2018/11/29
Beijing,2018,11,30,33,2018/11/30
Beijing,2018,12,1,39.7,2018/12/1
Beijing,2018,12,2,40.6,2018/12/2
Beijing,2018,12,3,37.9,2018/12/3
Beijing,2018,12,4,28.9,2018/12/4
Beijing,2018,12,5,30.4,2018/12/5
Beijing,2018,12,6,22,2018/12/6
Beijing,2018,12,7,17.6,2018/12/7
Beijing,2018,12,8,16.9,2018/12/8
Beijing,2018,12,9,18.6,2018/12/9
Beijing,2018,12,10,25.1,2018/12/10
Beijing,2018,12,11,23.1,2018/12/11
Beijing,2018,12,12,28.2,2018/12/12
Beijing,2018,12,13,25.6,2018/12/13
Beijing,2018,12,14,22.5,2018/12/14
Beijing,2018,12,15,25.5,2018/12/15
Beijing,2018,12,16,34.1,2018/12/16
Beijing,2018,12,17,34.9,2018/12/17
Beijing,2018,12,18,31.8,2018/12/18
Beijing,2018,12,19,31,2018/12/19
Beijing,2018,12,20,34.1,2018/12/20
Beijing,2018,12,21,37.7,2018/12/21
Beijing,2018,12,22,36.7,2018/12/22
Beijing,2018,12,23,21.6,2018/12/23
Beijing,2018,12,24,22.3,2018/12/24
Beijing,2018,12,25,30,2018/12/25
Beijing,2018,12,26,19.7,2018/12/26
Beijing,2018,12,27,14.5,2018/12/27
Beijing,2018,12,28,19.4,2018/12/28
Beijing,2018,12,29,19.2,2018/12/29
Beijing,2018,12,30,16.3,2018/12/30
Beijing,2018,12,31,16.9,2018/12/31
Beijing,2019,1,1,22.7,2019/1/1
Beijing,2019,1,2,22.2,2019/1/2
Beijing,2019,1,3,23.9,2019/1/3
Beijing,2019,1,4,27.2,2019/1/4
Beijing,2019,1,5,22.6,2019/1/5
Beijing,2019,1,6,20.3,2019/1/6
Beijing,2019,1,7,28.1,2019/1/7
Beijing,2019,1,8,20.4,2019/1/8
Beijing,2019,1,9,20.7,2019/1/9
Beijing,2019,1,10,26.4,2019/1/10
Beijing,2019,1,11,26.9,2019/1/11
Beijing,2019,1,12,25.6,2019/1/12
Beijing,2019,1,13,28.2,2019/1/13
Beijing,2019,1,14,29.1,2019/1/14
Beijing,2019,1,15,22.9,2019/1/15
Beijing,2019,1,16,24.5,2019/1/16
Beijing,2019,1,17,28.7,2019/1/17
Beijing,2019,1,18,32.6,2019/1/18
Beijing,2019,1,19,34.2,2019/1/19
Beijing,2019,1,20,36.8,2019/1/20
Beijing,2019,1,21,40.4,2019/1/21
Beijing,2019,1,22,37.8,2019/1/22
Beijing,2019,1,23,-99,2019/1/23
Beijing,2019,1,24,32.2,2019/1/24
Beijing,2019,1,25,31.8,2019/1/25
Beijing,2019,1,26,29.8,2019/1/26
Beijing,2019,1,27,35.5,2019/1/27
Beijing,2019,1,28,32.7,2019/1/28
Beijing,2019,1,29,31.2,2019/1/29
Beijing,2019,1,30,29.6,2019/1/30
Beijing,2019,1,31,22.4,2019/1/31
Beijing,2019,2,1,25.3,2019/2/1
Beijing,2019,2,2,30.6,2019/2/2
Beijing,2019,2,3,33.9,2019/2/3
Beijing,2019,2,4,27.1,2019/2/4
Beijing,2019,2,5,29.7,2019/2/5
Beijing,2019,2,6,24.2,2019/2/6
Beijing,2019,2,7,19.7,2019/2/7
Beijing,2019,2,8,22.8,2019/2/8
Beijing,2019,2,9,21.7,2019/2/9
Beijing,2019,2,10,20.8,2019/2/10
Beijing,2019,2,11,29.1,2019/2/11
Beijing,2019,2,12,22.2,2019/2/12
Beijing,2019,2,13,25.9,2019/2/13
Beijing,2019,2,14,24,2019/2/14
Beijing,2019,2,15,25.1,2019/2/15
Beijing,2019,2,16,28.1,2019/2/16
Beijing,2019,2,17,34.6,2019/2/17
Beijing,2019,2,18,34.6,2019/2/18
Beijing,2019,2,19,34.3,2019/2/19
Beijing,2019,2,20,35.2,2019/2/20
Beijing,2019,2,21,38.4,2019/2/21
Beijing,2019,2,22,38.7,2019/2/22
Beijing,2019,2,23,41.3,2019/2/23
Beijing,2019,2,24,42,2019/2/24
Beijing,2019,2,25,40.7,2019/2/25
Beijing,2019,2,26,39.7,2019/2/26
Beijing,2019,2,27,41.8,2019/2/27
Beijing,2019,2,28,43.2,2019/2/28
Beijing,2019,3,1,43.2,2019/3/1
Beijing,2019,3,2,45.1,2019/3/2
Beijing,2019,3,3,44.3,2019/3/3
Beijing,2019,3,4,51.9,2019/3/4
Beijing,2019,3,5,52.3,2019/3/5
Beijing,2019,3,6,40.9,2019/3/6
Beijing,2019,3,7,42.2,2019/3/7
Beijing,2019,3,8,46,2019/3/8
Beijing,2019,3,9,45.4,2019/3/9
Beijing,2019,3,10,43.7,2019/3/10
Beijing,2019,3,11,48.8,2019/3/11
Beijing,2019,3,12,46,2019/3/12
Beijing,2019,3,13,49,2019/3/13
Beijing,2019,3,14,51.1,2019/3/14
Beijing,2019,3,15,45.7,2019/3/15
Beijing,2019,3,16,50.8,2019/3/16
Beijing,2019,3,17,54.8,2019/3/17
Beijing,2019,3,18,54.6,2019/3/18
Beijing,2019,3,19,65.2,2019/3/19
Beijing,2019,3,20,55.5,2019/3/20
Beijing,2019,3,21,43.3,2019/3/21
Beijing,2019,3,22,48.2,2019/3/22
Beijing,2019,3,23,45.7,2019/3/23
Beijing,2019,3,24,52.1,2019/3/24
Beijing,2019,3,25,58.5,2019/3/25
Beijing,2019,3,26,53.3,2019/3/26
Beijing,2019,3,27,55.3,2019/3/27
Beijing,2019,3,28,42.7,2019/3/28
Beijing,2019,3,29,46.4,2019/3/29
Beijing,2019,3,30,43.7,2019/3/30
Beijing,2019,3,31,49.2,2019/3/31
Beijing,2019,4,1,52,2019/4/1
Beijing,2019,4,2,52,2019/4/2
Beijing,2019,4,3,53.3,2019/4/3
Beijing,2019,4,4,66.2,2019/4/4
Beijing,2019,4,5,55.5,2019/4/5
Beijing,2019,4,6,56.1,2019/4/6
Beijing,2019,4,7,53.9,2019/4/7
Beijing,2019,4,8,54.5,2019/4/8
Beijing,2019,4,9,43.4,2019/4/9
Beijing,2019,4,10,58,2019/4/10
Beijing,2019,4,11,56,2019/4/11
Beijing,2019,4,12,60.5,2019/4/12
Beijing,2019,4,13,61.4,2019/4/13
Beijing,2019,4,14,62.4,2019/4/14
Beijing,2019,4,15,67.6,2019/4/15
Beijing,2019,4,16,65.8,2019/4/16
Beijing,2019,4,17,71.2,2019/4/17
Beijing,2019,4,18,61.2,2019/4/18
Beijing,2019,4,19,57.2,2019/4/19
Beijing,2019,4,20,51.7,2019/4/20
Beijing,2019,4,21,59.2,2019/4/21
Beijing,2019,4,22,66.7,2019/4/22
Beijing,2019,4,23,71,2019/4/23
Beijing,2019,4,24,-99,2019/4/24
Beijing,2019,4,25,56.1,2019/4/25
Beijing,2019,4,26,58.9,2019/4/26
Beijing,2019,4,27,50.3,2019/4/27
Beijing,2019,4,28,55.7,2019/4/28
Beijing,2019,4,29,60.7,2019/4/29
Beijing,2019,4,30,65.1,2019/4/30
Beijing,2019,5,1,70.6,2019/5/1
Beijing,2019,5,2,72.9,2019/5/2
Beijing,2019,5,3,73.5,2019/5/3
Beijing,2019,5,4,71.6,2019/5/4
Beijing,2019,5,5,60.7,2019/5/5
Beijing,2019,5,6,66.1,2019/5/6
Beijing,2019,5,7,71.5,2019/5/7
Beijing,2019,5,8,66.1,2019/5/8
Beijing,2019,5,9,71.3,2019/5/9
Beijing,2019,5,10,72.9,2019/5/10
Beijing,2019,5,11,73,2019/5/11
Beijing,2019,5,12,59.4,2019/5/12
Beijing,2019,5,13,64.8,2019/5/13
Beijing,2019,5,14,69.3,2019/5/14
Beijing,2019,5,15,73.7,2019/5/15
Beijing,2019,5,16,-99,2019/5/16
Beijing,2019,5,17,-99,2019/5/17
Beijing,2019,5,18,-99,2019/5/18
Beijing,2019,5,19,-99,2019/5/19
Beijing,2019,5,20,67.3,2019/5/20
Beijing,2019,5,21,72.1,2019/5/21
Beijing,2019,5,22,77.4,2019/5/22
Beijing,2019,5,23,81.3,2019/5/23
Beijing,2019,5,24,78.8,2019/5/24
Beijing,2019,5,25,83.4,2019/5/25
Beijing,2019,5,26,68.2,2019/5/26
Beijing,2019,5,27,72.9,2019/5/27
Beijing,2019,5,28,76.6,2019/5/28
Beijing,2019,5,29,80.3,2019/5/29
Beijing,2019,5,30,75.7,2019/5/30
Beijing,2019,5,31,77.5,2019/5/31
Beijing,2019,6,1,74.3,2019/6/1
Beijing,2019,6,2,76.6,2019/6/2
Beijing,2019,6,3,77.7,2019/6/3
Beijing,2019,6,4,71.6,2019/6/4
Beijing,2019,6,5,76.3,2019/6/5
Beijing,2019,6,6,70.4,2019/6/6
Beijing,2019,6,7,76.4,2019/6/7
Beijing,2019,6,8,82.4,2019/6/8
Beijing,2019,6,9,77.4,2019/6/9
Beijing,2019,6,10,78.5,2019/6/10
Beijing,2019,6,11,78.1,2019/6/11
Beijing,2019,6,12,81.9,2019/6/12
Beijing,2019,6,13,79,2019/6/13
Beijing,2019,6,14,82.9,2019/6/14
Beijing,2019,6,15,79,2019/6/15
Beijing,2019,6,16,67.1,2019/6/16
Beijing,2019,6,17,72.6,2019/6/17
Beijing,2019,6,18,79.9,2019/6/18
Beijing,2019,6,19,79.9,2019/6/19
Beijing,2019,6,20,83.3,2019/6/20
Beijing,2019,6,21,77.9,2019/6/21
Beijing,2019,6,22,85.8,2019/6/22
Beijing,2019,6,23,83.5,2019/6/23
Beijing,2019,6,24,87.7,2019/6/24
Beijing,2019,6,25,84.9,2019/6/25
Beijing,2019,6,26,81.1,2019/6/26
Beijing,2019,6,27,84,2019/6/27
Beijing,2019,6,28,81.1,2019/6/28
Beijing,2019,6,29,85.2,2019/6/29
Beijing,2019,6,30,79.8,2019/6/30
Beijing,2019,7,1,86.1,2019/7/1
Beijing,2019,7,2,77,2019/7/2
Beijing,2019,7,3,87,2019/7/3
Beijing,2019,7,4,90.2,2019/7/4
Beijing,2019,7,5,74.1,2019/7/5
Beijing,2019,7,6,73.2,2019/7/6
Beijing,2019,7,7,74.1,2019/7/7
Beijing,2019,7,8,80.4,2019/7/8
Beijing,2019,7,9,74.8,2019/7/9
Beijing,2019,7,10,77.4,2019/7/10
Beijing,2019,7,11,79.2,2019/7/11
Beijing,2019,7,12,84.3,2019/7/12
Beijing,2019,7,13,82.3,2019/7/13
Beijing,2019,7,14,82.1,2019/7/14
Beijing,2019,7,15,84.7,2019/7/15
Beijing,2019,7,16,81.2,2019/7/16
Beijing,2019,7,17,76.9,2019/7/17
Beijing,2019,7,18,82.5,2019/7/18
Beijing,2019,7,19,82.5,2019/7/19
Beijing,2019,7,20,80.5,2019/7/20
Beijing,2019,7,21,89.8,2019/7/21
Beijing,2019,7,22,82,2019/7/22
Beijing,2019,7,23,87,2019/7/23
Beijing,2019,7,24,88.6,2019/7/24
Beijing,2019,7,25,85,2019/7/25
Beijing,2019,7,26,87,2019/7/26
Beijing,2019,7,27,88.9,2019/7/27
Beijing,2019,7,28,84.4,2019/7/28
Beijing,2019,7,29,77,2019/7/29
Beijing,2019,7,30,81.4,2019/7/30
Beijing,2019,7,31,87,2019/7/31
Beijing,2019,8,1,84.6,2019/8/1
Beijing,2019,8,2,76.3,2019/8/2
Beijing,2019,8,3,81.2,2019/8/3
Beijing,2019,8,4,78.9,2019/8/4
Beijing,2019,8,5,77.9,2019/8/5
Beijing,2019,8,6,81.2,2019/8/6
Beijing,2019,8,7,79.1,2019/8/7
Beijing,2019,8,8,83.9,2019/8/8
Beijing,2019,8,9,78.6,2019/8/9
Beijing,2019,8,10,77,2019/8/10
Beijing,2019,8,11,76.3,2019/8/11
Beijing,2019,8,12,77.3,2019/8/12
Beijing,2019,8,13,80.4,2019/8/13
Beijing,2019,8,14,78.5,2019/8/14
Beijing,2019,8,15,79.8,2019/8/15
Beijing,2019,8,16,79.4,2019/8/16
Beijing,2019,8,17,77,2019/8/17
Beijing,2019,8,18,78.1,2019/8/18
Beijing,2019,8,19,81.7,2019/8/19
Beijing,2019,8,20,69.5,2019/8/20
Beijing,2019,8,21,78.4,2019/8/21
Beijing,2019,8,22,73.7,2019/8/22
Beijing,2019,8,23,76.2,2019/8/23
Beijing,2019,8,24,78.6,2019/8/24
Beijing,2019,8,25,78.4,2019/8/25
Beijing,2019,8,26,73,2019/8/26
Beijing,2019,8,27,82.3,2019/8/27
Beijing,2019,8,28,79,2019/8/28
Beijing,2019,8,29,77.5,2019/8/29
Beijing,2019,8,30,78.2,2019/8/30
Beijing,2019,8,31,78.2,2019/8/31
Beijing,2019,9,1,76.4,2019/9/1
Beijing,2019,9,2,78,2019/9/2
Beijing,2019,9,3,78.5,2019/9/3
